verb,noun,prep,pobj,label,mod_state_mutable,
feature,jellyfish,with,tentacle,N,N,
include,bird,with,wing,N,N,
contain,number,of,lemon,N,N,
include,mass,of,zebra,N,N,
be,total,of,pelican,N,N,
be,part,of,stack,N,N,
contain,number,of,syrinx,N,N,
be,skunk,in,total,V,N,
contain,laptop,with,screen,N,N,
be,bag,with,handle,N,N,
feature,car,with,top,N,N,
be,pair,of,antelope,N,N,
feature,building,with,structure,N,N,
show,pack,of,towel,N,N,
show,flower,below,bunch,N,Y,
include,row,of,corgi,N,N,
contain,version,of,side,N,N,
feature,flower,on,porcelain,N,Y,
feature,puppy,near,fence,N,Y,
be,filling,in,bread,N,N,
be,puppy,with,fur,N,N,
be,animal,in,total,V,N,
show,floret,in,container,N,Y,
feature,floret,on,wood,N,Y,
cover,peak,in,image,O,Y,
contain,total,of,antelope,N,N,
be,dog,in,pair,V,Y,
wear,leash,in,image,O,Y,
be,man,in,sleeve,N,Y,
include,animal,with,horn,N,N,
show,pair,of,leg,N,N,
show,pair,of,leg,N,N,
be,vial,of,perfume,N,N,
be,product,in,image,V,Y,
be,dog,in,total,V,Y,
show,dog,to,toy,N,Y,
show,dog,with,open.\,N,Y,
show,plate,with,serving,N,Y,
show,ball,of,packaging,N,N,
contain,number,of,swimming,N,N,
wear,ribbon,around,neck,N,Y,
contain,dog,inside,watermelon,N,Y,
be,glass,of,wine,N,N,
be,dog,of,image,O,N,
be,pair,of,slipper,N,N,
feature,dingo,with,muzzle,N,?,
be,set,of,earring,N,N,
be,kid,in,pair,V,Y,
be,dog,in,image,V,Y,
wear,collar,with,head,O,?,
be,baby,with,balloon,N,Y,
be,crab,in,image,V,Y,
show,truck,with,plow,N,N,
be,stingray,in,pair,V,Y,
have,fish,in,mouth,V,Y,
show,color,of,lipstick,N,N,
be,cup,in,image,V,Y,
contain,monkey,on,right,N,Y,
wear,robe,with,stripe,N,N,
have,boat,with,sail,N,N,
be,pair,of,ball,N,N,
show,dog,with,eye,N,?,
be,beetle,on,clod,N,Y,
include,grad,in,cap,N,Y,
show,sneaker,with,coloring,N,N,
contain,vulture,in,pose,N,Y,
contain,group,of,vulture,N,N,
show,drumkit,on,pipe,N,Y,
be,glass,to,left,V,Y,
contain,number,of,antelope,N,N,
show,machine,at,angle,N,Y,
have,shape,on,front,V,N,
show,stingray,to,bottom,N,Y,
contain,number,of,people,N,N,
show,gorilla,with,mouth,N,N,
show,bird,in,image,N,Y,
be,minimum,of,elephant,N,N,
include,flower,behind,camera,N,Y,
be,mammal,in,image,N,Y,
include,slice,on,top,N,?,
cover,mountain,in,image,O,Y,
show,row,of,people,N,N,
wear,robe,with,stripe,N,N,
contain,parrot,with,wing,N,N,
be,bottle,in,image,V,Y,
be,pelican,in,image,V,Y,
show,case,with,corner,N,N,
include,saxophone,with,bell,N,?,
contain,number,of,canopy,N,N,
have,body,in,profile,N,Y,
be,person,in,library,V,Y,
be,ibex,in,image,V,Y,
wear,glove,of,image,O,N,
wear,glove,of,image,O,N,
contain,jewelry,with,color,N,N,
have,stalk,with,dot,N,N,
be,crowd,with,man,N,N,
show,pizza,with,slice,N,?,ABS
be,bowl,of,mash,N,N,
contain,dog,in,pose,N,Y,
feature,saxophone,of,color,N,N,
include,girl,in,wrap,N,?,
include,girl,in,wrap,N,?,
show,view,of,section,N,N,
show,view,down,aisle,N,?,
feature,spaniel,with,fur,N,N,
show,balloon,in,variety,N,N,
show,row,of,instrument,N,N,
show,beaker,with,shape,N,N,
be,line,of,post,N,N,
show,glass,with,line,N,N,
be,dog,in,image,V,Y,
be,flower,of,table,O,?,
contain,number,of,llama,N,N,
have,something,in,mouth,V,Y,
be,churce,with,wall,N,N,
show,parrot,with,claws,N,N,
have,something,around,neck,V,Y,
be,horse,in,image,V,Y,
show,part,of,flute,N,N,
be,dog,in,image,N,Y,
have,train,on,track,V,Y,
include,stove,with,pipe,N,N,
show,herd,of,llama,N,N,
contain,dog,of,dog,O,N,
be,image,of,chimp,N,N,
be,ball,on,grass,V,Y,
be,total,of,bottle,N,N,
feature,hand,with,glove,N,Y,
show,front,of,bus,N,N,
be,ferret,with,pattern,N,N,
contain,number,of,mug,N,N,
show,exterior,with,person,N,Y,
show,interior,of,shelf,N,N,
contain,dispenser,with,holder,N,?,
be,panda,in,image,V,Y,
contain,total,of,leg,N,N,
show,interior,with,row,N,N,
be,bottle,in,total,V,Y,
be,item,in,image,V,Y,
feature,gorilla,with,back,N,?,
show,hound,with,face,V,?,
show,cart,with,passenger,N,Y,
show,path,to,row,N,N,
show,ox,in,front,N,Y,
contain,number,of,phone,N,N,
contain,hound,with,muzzle,N,?,
wear,something,with,tassle,N,N,
have,circle,in,circle,N,?,
show,outfit,with,image,N,?,
show,trio,of,collie,N,N,
have,couch,on,side,V,Y,
feature,row,of,weight,N,N,
feature,barbell,in,foreground,V,Y,
show,chimp,with,chimp,N,Y,
contain,penguin,with,fish,N,Y,
be,saxophone,in,total,V,Y,
be,bottle,of,wine,N,N,
wear,outfit,in,shade,N,Y,
include,sleeve,of,length,N,N,
contain,number,of,wall,N,N,
feature,standing,with,body,N,?,
contain,number,of,deer,N,N,
show,balloon,in,color,N,N,
show,dough,in,bowl,N,Y,
be,bottle,in,total,V,Y,
show,bottle,in,carrier,N,Y,
feature,zebra,with,rear,N,N,
show,dessert,with,strawberry,N,?,
be,broccoli,on,towel,V,Y,
feature,awning,to,tower,O,?,
be,female,in,bikini,N,?,
contain,dog,with,tongue,N,?,
wear,type,of,coat,N,N,
contain,row,of,ball,N,N,
be,rack,of,weight,N,N,
show,balloon,on,string,N,?,
be,dessert,in,image,V,Y,
be,wall,in,background,V,Y,
contain,banana,in,bunch,N,N,
include,banana,in,bunch,N,N,
contain,number,of,bottle,N,N,
contain,total,of,ram,N,N,
contain,number,of,dispenser,N,N,
show,shape,on,wall,N,?,
show,seal,with,mouth,N,?,
be,close,of,wagon,O,?,
be,vehicle,with,plow,N,N,
contain,desk,near,window,N,?,
show,standing,without,use,N,?,
show,dog,on,grass,N,Y,
show,woman,in,hat,N,?,
wear,blinder,on,grass,O,Y,
contain,total,of,crosse,N,N,
contain,head,with,leave,N,Y,
show,ball,to,right,N,Y,
be,bottle,in,image,V,Y,
be,cup,with,food,N,N,
contain,number,of,hy,N,Y,
be,chow,of,dog,O,N,
feature,cup,with,band,N,N,
contain,vehicle,on,top,N,Y,
show,building,behind,kind,N,Y,
feature,building,with,roof,N,N,
be,parrot,in,image,V,Y,
contain,number,of,flute,N,N,
feature,group,of,llama,N,N,
wear,pack,on,back,V,Y,
contain,hound,with,tail,N,N,
show,gorilla,to,chest,N,?,
contain,number,of,truck,N,N,
feature,dispenser,with,push,N,N,
contain,image,on,left,N,Y,
be,animal,in,image,V,Y,
show,exterior,of,side,N,N,
show,interior,with,framework,N,N,
show,hamster,with,green,N,?,
have,otter,in,image,O,Y,
show,establishment,with,floor,N,N,
have,check,about,foot,N,?,
contain,number,of,swatch,N,N,
feature,lid,on,bottle,N,?,
be,area,of,padding,N,N,
show,up,on,beach,V,?,
be,marker,behind,case,V,Y,
contain,number,of,bunche,N,N,
feature,car,on,snow,N,Y,
feature,plow,on,road,N,Y,
be,jellyfish,in,total,V,Y,
be,dog,in,image,V,Y,
be,church,with,cross,N,N,
be,dog,with,leash,N,?,
be,creature,in,image,V,Y,
show,man,in,hat,N,?,
contain,lock,with,key,N,?,
be,desk,with,laptop,N,?,
contain,number,of,mitten,N,N,
show,chimpanzee,in,water,V,Y,
be,dog,with,nose,N,N,
show,pair,of,leg,N,N,
contain,bottle,with,flip,N,N,
include,liquid,in,bottle,V,Y,
feature,spout,in,center,V,?,
include,part,of,person,N,N,
have,shelf,on,right,O,Y,
be,human,in,image,V,Y,
contain,number,of,dog,N,N,
contain,number,of,sailboat,N,N,
show,bird,in,cage,N,Y,
have,mouth,with,tongue,N,?,
include,grouping,of,bottle,N,N,
be,nothing,in,shelf,V,Y,
feature,device,with,screen,N,N,
contain,flying,in,sky,N,?,
be,plant,near,house,N,Y,
show,view,of,beetle,N,N,
be,container,of,makeup,N,N,
have,balloon,of,color,N,N,
include,set,of,product,N,N,
show,truck,on,pavement,N,Y,
have,advertising,in,background,V,Y,
show,chihuahua,with,toy,N,Y,
contain,number,of,dispenser,N,N,
have,marking,on,front,N,?,
be,cup,in,image,V,Y,
be,pair,of,dog,N,N,
contain,half,of,lemon,N,N,
be,phone,withe,screen,N,?,
show,vanity,with,foot,N,N,
contain,number,of,stingray,N,N,
have,paw,off,ground,N,Y,
show,head,of,animal,N,N,
contain,row,of,puppy,N,N,
contain,stingray,with,spot,N,N,
be,container,on,right,V,Y,
be,container,on,left,V,Y,
be,bird,in,image,V,Y,
show,onion,behind,pizza,N,Y,
be,monitor,in,image,V,Y,
contain,vulture,with,wing,N,N,
wear,harness,of,color,N,N,
show,sign,with,lettering,N,N,
show,hound,in,image,N,Y,
be,case,with,pencil,N,?,
be,saxophone,in,image,V,Y,
contain,dog,as,image,V,?,
be,cover,in,stripe,N,N,
contain,eagle,with,wing,N,?,
have,food,on,top,N,Y,
be,bird,in,pair,V,Y,
be,pair,of,hand,N,N,
contain,number,of,groundhog,N,N,
be,bottle,of,rice,N,N,
be,snow,in,truck,V,Y,
be,woman,in,gown,N,?,
show,display,with,sneaker,N,Y,
show,shoe,in,pair,N,Y,
feature,handrail,with,bar,N,N,
be,reflection,of,instrument,N,N,
contain,hound,in,image,V,Y,
have,face,in,bowl,V,Y,
contain,number,of,groundhog,N,N,
wear,swimsuit,in,style,N,?,
be,seal,in,pair,V,Y,
be,dog,in,image,V,Y,
feature,animal,with,leg,N,?,
have,people,in,car,V,Y,
be,dog,in,image,V,Y,
be,roll,in,image,V,Y,
be,diver,with,jellyfish,N,Y,
be,bowl,with,ball,N,Y,
have,wall,with,window,N,N,
contain,pair,of,weight,N,N,
